ID,Label,Nucleoplasm,Nuclear Membrane,Nucleoli,Nucleoli Fibrillar Center,Nuclear Speckles,Nuclear Bodies,Endoplasmic Reticulum,Golgi Apparatus,Intermediate Filaments,Actin Filaments,Microtubules,Mitotic Spindle,Centrosome,Plasma Membrane,Mitochondria,Aggresome,Cytosol,Vesicles,Negative,in_trainset,Cell Counts,ImageWidth,idx,fold
5c27f04c-bb99-11e8-b2b9-ac1f6b6435d0,0|5|8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,True,8.0,2048.0,8,0
5fb643ee-bb99-11e8-b2b9-ac1f6b6435d0,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,15.0,2048.0,15,0
60b57878-bb99-11e8-b2b9-ac1f6b6435d0,1|6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,17.0,3072.0,17,0
5c1a898e-bb99-11e8-b2b9-ac1f6b6435d0,10|16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,True,17.0,2048.0,17,0
5b931256-bb99-11e8-b2b9-ac1f6b6435d0,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,45.0,2048.0,45,0
5c68183e-bb99-11e8-b2b9-ac1f6b6435d0,0|13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,10.0,2048.0,10,0
5dd74816-bb99-11e8-b2b9-ac1f6b6435d0,0|12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,23.0,2048.0,23,0
5ffaea8a-bb99-11e8-b2b9-ac1f6b6435d0,2|7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,34.0,2048.0,34,0
61ef3044-bb99-11e8-b2b9-ac1f6b6435d0,0|9|13|16,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,True,105.0,3072.0,105,0
5b88d5e8-bb99-11e8-b2b9-ac1f6b6435d0,2|14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,19.0,2048.0,19,0
6388d7d4-bb99-11e8-b2b9-ac1f6b6435d0,0|15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,42.0,2048.0,42,0
6795f08c-bb99-11e8-b2b9-ac1f6b6435d0,0|1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,11.0,2048.0,11,0
6843322e-bb99-11e8-b2b9-ac1f6b6435d0,0|9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,13.0,2048.0,13,0
6c3b163a-bb99-11e8-b2b9-ac1f6b6435d0,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,10.0,3072.0,10,0
6a87e840-bb99-11e8-b2b9-ac1f6b6435d0,2|13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,49.0,2048.0,49,0
6a959c74-bb99-11e8-b2b9-ac1f6b6435d0,4|14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,28.0,2048.0,28,0
6a54e864-bb99-11e8-b2b9-ac1f6b6435d0,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,19.0,3072.0,19,0
6f9cfc08-bb99-11e8-b2b9-ac1f6b6435d0,13|16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True,18.0,2048.0,18,0
707bfaa2-bb99-11e8-b2b9-ac1f6b6435d0,9|13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True,16.0,2048.0,16,0
70f46d52-bb99-11e8-b2b9-ac1f6b6435d0,0|12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,18.0,2048.0,18,0
75dd487a-bb99-11e8-b2b9-ac1f6b6435d0,0|8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,18.0,3072.0,18,0
730301da-bb99-11e8-b2b9-ac1f6b6435d0,4|8|12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,True,11.0,2048.0,11,0
7465a65e-bb99-11e8-b2b9-ac1f6b6435d0,0|12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,41.0,3072.0,41,0
77d512f2-bb99-11e8-b2b9-ac1f6b6435d0,0|2|13|16,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True,26.0,3072.0,26,0
75318382-bb99-11e8-b2b9-ac1f6b6435d0,0|5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,15.0,3072.0,15,0
75f53b88-bb99-11e8-b2b9-ac1f6b6435d0,0|13|16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True,31.0,2048.0,31,0
77aa841a-bb99-11e8-b2b9-ac1f6b6435d0,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,72.0,2048.0,72,0
7b928c26-bb99-11e8-b2b9-ac1f6b6435d0,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,24.0,2048.0,24,0
7ffe149c-bb99-11e8-b2b9-ac1f6b6435d0,0|1|8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,20.0,2048.0,20,0
8080a61e-bb99-11e8-b2b9-ac1f6b6435d0,0|8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,24.0,2048.0,24,0
80493eb8-bb99-11e8-b2b9-ac1f6b6435d0,0|9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,9.0,2048.0,9,0
81ff445a-bb99-11e8-b2b9-ac1f6b6435d0,0|3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,12.0,2048.0,12,0
